combo,train_langs,system,metric,language,value
en_hi,English+Hindi,A_pipeline,classification_macro_f1,Telugu,0.6761
en_hi,English+Hindi,A_pipeline,classification_macro_f1,Overall,0.7546
en_hi,English+Hindi,A_pipeline,e2e_span_overlap_f1,English,0.6341
en_hi,English+Hindi,A_pipeline,e2e_span_overlap_f1,Hindi,0.3306
en_hi,English+Hindi,A_pipeline,e2e_span_overlap_f1,Indonesian,0.5165
en_hi,English+Hindi,A_pipeline,e2e_span_overlap_f1,Spanish,0.5603
en_hi,English+Hindi,A_pipeline,e2e_span_overlap_f1,Telugu,0.4729
en_hi,English+Hindi,A_pipeline,e2e_span_overlap_f1,Overall,0.5449
en_hi,English+Hindi,A_pipeline,joint_accuracy,Overall,0.6297
en_hi,English+Hindi,E_joint,joint_f1,English,0.8023
en_hi,English+Hindi,E_joint,joint_f1,Spanish,0.7357
en_hi,English+Hindi,E_joint,joint_f1,Hindi,0.7085
en_hi,English+Hindi,E_joint,joint_f1,Telugu,0.6896
en_hi,English+Hindi,E_joint,joint_f1,Overall,0.7487
en_hi,English+Hindi,E_joint,joint_f1_macro_avg,Overall,0.734
en_hi,English+Hindi,E_joint,classification_macro_f1,English,0.8182
en_hi,English+Hindi,E_joint,classification_macro_f1,Hindi,0.7252
en_hi,English+Hindi,E_joint,classification_macro_f1,Indonesian,0.7784
en_hi,English+Hindi,E_joint,classification_macro_f1,Spanish,0.7637
en_hi,English+Hindi,E_joint,classification_macro_f1,Telugu,0.735
en_hi,English+Hindi,E_joint,classification_macro_f1,Overall,0.7793
en_hi,English+Hindi,E_joint,e2e_span_overlap_f1,English,0.7117
en_hi,English+Hindi,E_joint,e2e_span_overlap_f1,Hindi,0.5811
en_hi,English+Hindi,E_joint,e2e_span_overlap_f1,Indonesian,0.5962
en_hi,English+Hindi,E_joint,e2e_span_overlap_f1,Spanish,0.6343
en_hi,English+Hindi,E_joint,e2e_span_overlap_f1,Telugu,0.7244
en_hi,English+Hindi,E_joint,e2e_span_overlap_f1,Overall,0.645
en_hi,English+Hindi,E_joint,joint_accuracy,Overall,0.6328
en_hi,English+Hindi,F_sequential,joint_f1,English,0.7972
en_hi,English+Hindi,F_sequential,joint_f1,Spanish,0.7107
en_hi,English+Hindi,F_sequential,joint_f1,Hindi,0.6984
en_hi,English+Hindi,F_sequential,joint_f1,Telugu,0.6896
en_hi,English+Hindi,F_sequential,joint_f1,Overall,0.7391
en_hi,English+Hindi,F_sequential,joint_f1_macro_avg,Overall,0.724
en_hi,English+Hindi,F_sequential,classification_macro_f1,English,0.8094
en_hi,English+Hindi,F_sequential,classification_macro_f1,Hindi,0.7169
en_hi,English+Hindi,F_sequential,classification_macro_f1,Indonesian,0.769
en_hi,English+Hindi,F_sequential,classification_macro_f1,Spanish,0.7237
en_hi,English+Hindi,F_sequential,classification_macro_f1,Telugu,0.7199
en_hi,English+Hindi,F_sequential,classification_macro_f1,Overall,0.7625
en_hi,English+Hindi,F_sequential,e2e_span_overlap_f1,English,0.6739
en_hi,English+Hindi,F_sequential,e2e_span_overlap_f1,Hindi,0.4988
en_hi,English+Hindi,F_sequential,e2e_span_overlap_f1,Indonesian,0.488
en_hi,English+Hindi,F_sequential,e2e_span_overlap_f1,Spanish,0.5281
en_hi,English+Hindi,F_sequential,e2e_span_overlap_f1,Telugu,0.746
en_hi,English+Hindi,F_sequential,e2e_span_overlap_f1,Overall,0.5666
en_hi,English+Hindi,F_sequential,joint_accuracy,Overall,0.6454
en_hi,English+Hindi,G_bio,joint_f1,English,0.4696
en_hi,English+Hindi,G_bio,joint_f1,Spanish,0.4502
en_hi,English+Hindi,G_bio,joint_f1,Hindi,0.4876
en_hi,English+Hindi,G_bio,joint_f1,Telugu,0.4561
en_hi,English+Hindi,G_bio,joint_f1,Overall,0.4587
en_hi,English+Hindi,G_bio,e2e_span_overlap_f1,English,0.7917
en_hi,English+Hindi,G_bio,e2e_span_overlap_f1,Hindi,0.7587
en_hi,English+Hindi,G_bio,e2e_span_overlap_f1,Indonesian,0.6578
en_hi,English+Hindi,G_bio,e2e_span_overlap_f1,Spanish,0.6936
en_hi,English+Hindi,G_bio,e2e_span_overlap_f1,Telugu,0.3098
en_hi,English+Hindi,G_bio,e2e_span_overlap_f1,Overall,0.6873
en_hi,English+Hindi,G_bio,joint_accuracy,Overall,0.2594
en_te,English+Telugu,A_pipeline,joint_f1,English,0.7942
en_te,English+Telugu,A_pipeline,joint_f1,Spanish,0.728
en_te,English+Telugu,A_pipeline,joint_f1,Hindi,0.6569
en_te,English+Telugu,A_pipeline,joint_f1,Telugu,0.7257
en_te,English+Telugu,A_pipeline,joint_f1,Overall,0.7488
en_te,English+Telugu,A_pipeline,joint_f1_macro_avg,Overall,0.7262
en_te,English+Telugu,A_pipeline,classification_macro_f1,English,0.8022
en_te,English+Telugu,A_pipeline,classification_macro_f1,Hindi,0.6744
en_te,English+Telugu,A_pipeline,classification_macro_f1,Indonesian,0.7969
en_te,English+Telugu,A_pipeline,classification_macro_f1,Spanish,0.7449
en_te,English+Telugu,A_pipeline,classification_macro_f1,Telugu,0.7257
en_te,English+Telugu,A_pipeline,classification_macro_f1,Overall,0.7725
